Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4557509512834614,1.9240578409885059,0.04479041073835229,0.5380898631378469,2.306221674679489,1.7943311025420399,0.04252414000989073,0.4607812035429175
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.406054196035844,1.8799129285598175,0.043811736317495985,0.5488266714547865,2.4043104998748346,1.9045311243673508,0.044316380548004776,0.4711002834353222
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3242651271558192,1.8398085906517447,0.043035739589242124,0.5502053529535016,2.909821148579654,2.036922803065218,0.04649901462177316,0.39164625703201505
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3723849110951027,1.8615472730065878,0.043441302251802934,0.5380493557141395,2.5591841470509427,1.9952503152914127,0.04628901004336096,0.5143108844414819
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4025121121619475,1.8689651255800346,0.0434505749523455,0.5246558087039869,2.423061793797526,1.9322515126429034,0.0458282066753536,0.5685014893757913
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.291354336915172,1.8223510417650317,0.04232650581691645,0.5754282901686775,3.122876930469265,2.141400166379682,0.05099895683033796,0.2235010486320732
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.429422049170077,1.8972014607481273,0.044236421666095226,0.5197251828798025,2.3173518664580386,1.8516312850198735,0.04303762573328383,0.5889466363804154
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4166068198450255,1.8805179808488794,0.043975118518023285,0.5309928060233013,2.3726120676120503,1.9114371642100705,0.04383799011713689,0.5444768683779251
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4069669068061583,1.8991700462888745,0.04439103878821786,0.527010055301538,2.405072627455853,1.8328080043511161,0.04207311807094028,0.5578173373546598
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.398622408367702,1.8881631737100477,0.04391851668035375,0.5526691701009985,2.502573568568767,1.9105366706280766,0.045100390750066,0.4106569134046252
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.394058361189881,1.8748485090048779,0.04359907437414827,0.538134292152182,2.4527768322333783,1.9183920869056832,0.045330304264306474,0.5221832548881866
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3003593423724116,1.8283660929682037,0.04279001902218533,0.5602426568525574,3.1619414820849516,2.104630662123949,0.048300495225195236,0.2835990931439686
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4295763569839344,1.9085772792304,0.044534374248585785,0.5415638094646102,2.3284208127829453,1.8073153804853015,0.0416159040507235,0.4957683547492484
Local Model,partner_ii,Chemical + Mineralogical + Feature Engineering,"(1053, 19)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.453412009561174,1.9088430927351234,0.04446802548573405,0.5243101361996387,2.271421213493134,1.8264266247759327,0.04279979146236413,0.5565475118002621
