Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7 + One-Hot,"(1057, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4818735154198608,1.1630993486212555,0.027086376744859846,0.8293693000492954,1.6026710698676747,1.3367086360139666,0.031154462845610836,0.7661895806119959
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7 + One-Hot,"(1057, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7327277669512846,1.3829319378553764,0.03191200782381007,0.7543674687432449,1.8165030380604599,1.4345576484248326,0.033164919100044675,0.7573723073826142
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7 + One-Hot,"(1057, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4714727068477875,1.1803015033911306,0.027538643249157214,0.8255126854146216,1.5552741712671239,1.1930933918885143,0.027498745983183276,0.8078515710713801
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7 + One-Hot,"(1057, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4483094299338757,1.1428079288563828,0.026576779406020868,0.8376647781030779,1.6268022016153347,1.323874116147299,0.030909619825416075,0.7540878878849377
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7 + One-Hot,"(1057, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5005860192058431,1.195733470330565,0.027821072119826217,0.8132320068092477,1.6924906486037705,1.294777707646808,0.03016438346710849,0.7992885192939958
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7 + One-Hot,"(1057, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5110947199134288,1.2053029245229867,0.02797604617742712,0.8198637354859666,1.7241165144688002,1.3574318169647794,0.03214248601106881,0.7465290471002497
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7 + One-Hot,"(1057, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4575761294845206,1.1608391974635377,0.027037743469186165,0.8256725766710299,1.5678780063224231,1.2658048622563198,0.02973318742457928,0.8203797496350392
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7 + One-Hot,"(1057, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5707908667197563,1.2537145207903344,0.029024777869112305,0.8069012753635743,1.7052724225832803,1.3570384332015049,0.03165415364419206,0.7436492509802333
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7 + One-Hot,"(1057, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6117677783988922,1.2825584270937223,0.029750821445289528,0.7940177641880366,1.7552352765755905,1.3340686910186335,0.02979933286839588,0.7358690057757462
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7 + One-Hot,"(1057, 15)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5080871989261349,1.1892717991822155,0.027675352260594997,0.813836370051101,1.8900464729964248,1.4575940382537118,0.034050102652441995,0.7378236955241753
