Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,partner_ii,"(1053, 18)",1,Chemical + Mineralogical + Properties CS Less,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.2007889765367663,0.12333954940829374,1.7205657811846051,0.08830121442786333,0.03999158269324434,0.0020950584740600524,0.49792610673246573,0.05655477514375694,6.674998365540301,2.2512143877111885,4.89387283228314,1.3947944656072813,0.11300977662051882,0.030053844023107013,-3.782611911923571,2.793635358766947
Local Model,partner_ii,"(1053, 18)",1,Chemical + Mineralogical + Properties CS Less,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.8720978202822725,0.05991369050356955,1.4866811829942232,0.058518367431109365,0.03391004797596283,0.0010928234957462172,0.6696001354540227,0.021350112856109285,3.5339492478832732,0.150488340046783,2.956552989170261,0.1570359360064749,0.07600328881304735,0.0038509611340434837,-0.614985031613102,0.13531677635033534
Local Model,partner_ii,"(1053, 18)",1,Chemical + Mineralogical + Properties CS Less,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8435642959825949,0.03428659773646278,1.4627414646551378,0.032432797592238674,0.03405822682822855,0.0006705153175649206,0.7267192184309627,0.010274123315875638,2.408049948654985,0.46460684674857705,1.792418845496396,0.08428753834274476,0.041704208425511605,0.0017917893453652054,0.5133299075353158,0.22232128130850043
Local Model,partner_ii,"(1053, 18)",1,Chemical + Mineralogical + Properties CS Less,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.862524498580526,0.2165066463382587,1.464563019558457,0.18157437836247745,0.0335658333956538,0.0042696843522083685,0.691599606584518,0.054827051439024395,4.7714864387075036,2.1236724671028466,3.109576772780646,1.0585897221644507,0.07269761664462634,0.02434742212834044,-1.7490326173183706,2.059682926290833
Local Model,partner_ii,"(1053, 18)",7,Chemical + Mineralogical + Properties CS Less,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.495679258941571,0.2743938930153759,1.207462039066172,0.25173475597897926,0.027995939807698846,0.005411401362395312,0.7428725505929393,0.11698664308219622,6.971484634893642,1.8808761597594332,5.764932901891827,1.7653409076841253,0.1367681056251679,0.04576606328049498,-10.587422809708611,11.264203496018903
Local Model,partner_ii,"(1053, 18)",7,Chemical + Mineralogical + Properties CS Less,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.5679473966090456,0.12941367750151994,1.2547971845213264,0.10813913304087032,0.028618779485602125,0.002270702925425804,0.7627784512499506,0.04002641440557537,3.5710458440424127,0.4741416969168781,2.848948715157254,0.3627306009775808,0.07281176453844866,0.009274434223764862,-0.744857382095326,0.43408275146191855
Local Model,partner_ii,"(1053, 18)",7,Chemical + Mineralogical + Properties CS Less,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4190497029450557,0.06668021852085992,1.1334876670346583,0.06108871972568494,0.0264819977732204,0.0012567154572670639,0.8356624264719059,0.015852083907761653,3.59826216557766,2.205998806025586,2.262993574772474,0.5726235405040512,0.053220607565111384,0.0130507354146876,-0.45563835593010626,2.01629206744644
Local Model,partner_ii,"(1053, 18)",7,Chemical + Mineralogical + Properties CS Less,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5476680376597296,0.1968928765316341,1.2301118835066955,0.16894848581929184,0.028464874774213184,0.003709749664488305,0.7763731585603681,0.058318012209775755,6.313658995049335,2.3531577425640435,4.5395528239289265,1.7694840467934778,0.10622338728609167,0.03875763840399032,-3.886185214244206,3.2258257531640635
Local Model,partner_ii,"(1053, 18)",14,Chemical + Mineralogical + Properties CS Less,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.6271019011138,0.22245476000073136,1.3150818954345636,0.19763097796326792,0.030839212628331614,0.005115876067930758,0.6777927350086274,0.11769294357465004,4.789076352297048,2.26926437025963,4.089992423721573,2.0178223967119004,0.09714927845047375,0.047625943174200935,-7.189246339393555,7.424314537668669
Local Model,partner_ii,"(1053, 18)",14,Chemical + Mineralogical + Properties CS Less,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.5131189207602294,0.11386293075595377,1.200866083926608,0.09536932997000125,0.027426418883058638,0.0020579174335345596,0.7774576517014268,0.03414838855792136,3.5089232829958354,0.3801209273986544,2.810442051554835,0.3270041359370718,0.07276805718361637,0.00845683805863071,-0.7637681619181445,0.37008035292601604
Local Model,partner_ii,"(1053, 18)",14,Chemical + Mineralogical + Properties CS Less,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6400753709316114,0.2896917474430838,1.3228268562132655,0.27679199047159553,0.03069369789529428,0.006077178410565995,0.7728996288986099,0.09074717188432803,7.358997311699062,9.405913989257197,3.520452441481606,2.8307892032766593,0.08197019217335251,0.06487847126717455,-11.483029371105923,24.17168643057395
Local Model,partner_ii,"(1053, 18)",14,Chemical + Mineralogical + Properties CS Less,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.559801285662099,0.26439964780063185,1.252133459463003,0.26158345632003155,0.02871978067588172,0.0058340951809251855,0.7661330962941887,0.10028762953730305,7.717045314057475,5.013449929240259,5.133760433339665,2.3319546756559677,0.12052184821340657,0.052265771623825424,-7.699755700784923,10.229701121626169
