Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,partner_ii,"(1053, 17)",1,Chemical + Mineralogical + CS1 + CS3 + CS7,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.684299791444717,0.3491352811697398,2.115911182706318,0.28163701419303205,0.04920277837708209,0.006625918651784952,0.25548427541098273,0.13649771405150396,5.856177811341794,2.2675947210541127,4.308914962284149,1.315529362157067,0.10051053095971733,0.03145840800416921,-2.952205400962891,2.9629454183764103
Local Model,partner_ii,"(1053, 17)",1,Chemical + Mineralogical + CS1 + CS3 + CS7,GRU,Out of time Split,"{""Test Size"": 0.2}",1.3578599156571125,0.013900777510654787,1.0688789628633695,0.00871859350285971,0.02437146177258066,0.0001810800174224402,0.8263424592287049,0.0035665979931464894,2.0335970947555793,0.136300960277401,1.616594154153013,0.11094856178812201,0.04154364751655012,0.0030341389074410455,0.4637868031291661,0.07321709184736282
Local Model,partner_ii,"(1053, 17)",1,Chemical + Mineralogical + CS1 + CS3 + CS7,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4585151895467197,0.03004082165971452,1.1587771378762084,0.024109245540868705,0.026972231451675998,0.0005775006506853362,0.8288491318006581,0.009187358136358304,1.5822354956604554,0.09320157218168294,1.2352197749154021,0.07607673471270299,0.028758627794581416,0.0017873344516526164,0.7961297906831927,0.020755498251485163
Local Model,partner_ii,"(1053, 17)",1,Chemical + Mineralogical + CS1 + CS3 + CS7,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.751278416661545,0.621764308647102,1.3935914908441687,0.5080627476625914,0.031772836656159445,0.011843312096279979,0.7068609251728312,0.20708401846801616,2.9019970888194564,2.1295620489383214,2.2022293940952844,1.4934675537768982,0.051419442590689764,0.03412679906115452,-0.4128474674666197,2.117555008745645
Local Model,partner_ii,"(1053, 17)",7,Chemical + Mineralogical + CS1 + CS3 + CS7,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.7635342692264,0.25544340745723665,1.4432966477105813,0.24304686836930534,0.03371332091524416,0.005420826872520257,0.6473287004840937,0.11150631553222468,4.861699644122937,1.4404527252718604,3.924932615417796,1.2147716698455806,0.09222804866671114,0.030485249616768077,-4.518800977533923,5.86249088672446
Local Model,partner_ii,"(1053, 17)",7,Chemical + Mineralogical + CS1 + CS3 + CS7,GRU,Out of time Split,"{""Test Size"": 0.2}",1.358923692021471,0.16605715395218354,1.0892735948531758,0.14710756445205325,0.024824387040264486,0.0031914322600431187,0.8203737458179828,0.04482543329641368,2.033374103407429,0.14987967869645277,1.6261974346575958,0.13248615443666234,0.04164237826290542,0.0035317062504173925,0.4410571304089242,0.08198691387711077
Local Model,partner_ii,"(1053, 17)",7,Chemical + Mineralogical + CS1 + CS3 + CS7,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4520860158810367,0.12305528222900365,1.1660677337654564,0.1137912162464755,0.026991165039154177,0.0024884411844468208,0.8270341651466727,0.030346311962099793,1.7314727912914398,0.11593899422281893,1.368827749389578,0.08916191040279614,0.03185699948861032,0.0019511672634169675,0.7473827239321765,0.04506355549609445
Local Model,partner_ii,"(1053, 17)",7,Chemical + Mineralogical + CS1 + CS3 + CS7,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.719268570254904,0.458780326441933,1.4211942064334147,0.43396891800774756,0.03244309845632215,0.009955735153619869,0.7116285825234685,0.15736805398791398,3.8793741014129943,2.5693442732208704,3.1300604821916633,2.2383789156021088,0.07265688368053382,0.05094168770695095,-1.4775740662143662,3.663528446826758
Local Model,partner_ii,"(1053, 17)",14,Chemical + Mineralogical + CS1 + CS3 + CS7,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.670908194651888,0.35463726370206955,1.3628643558941405,0.30860176562745184,0.03163197207388437,0.00657954039159302,0.6557668666486836,0.17130739818945548,3.952778001499481,1.2727801676853652,3.4351224054068523,1.168257829804849,0.08185341006644596,0.02713880871627103,-4.260268934358594,2.9229530120095673
