Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,partner_ii,"(1053, 21)",1,Chemical + Mineralogical + Physical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.7153307011727588,0.2924872721396932,2.8971691556658064,0.2506206810655811,0.06753237235977834,0.004482515530526871,-0.4358323861735555,0.23173734165289261,8.391201446432126,2.9384462798256674,6.447469923412988,1.4405761214168304,0.14959381989158754,0.03263356342735625,-6.681805255501086,5.408549446906542
Local Model,partner_ii,"(1053, 21)",1,Chemical + Mineralogical + Physical,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.5790501781365454,0.06333661690949396,1.2161056976439173,0.04959500272061374,0.027546187790611326,0.0010808920028039823,0.7648049284672015,0.018571213859007445,2.145631901550048,0.11102355697591006,1.741329561929567,0.1011382024353811,0.04393877492116075,0.0024182427736911334,0.4041557628685883,0.060423737785166444
Local Model,partner_ii,"(1053, 21)",1,Chemical + Mineralogical + Physical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6458136957680347,0.05627268903017469,1.2827269873757776,0.041986982373409136,0.029600258958621974,0.0009035807349844092,0.7821272833340894,0.013532194524662176,2.1585999632566693,0.8028050255193799,1.4722045369893157,0.09476084181097501,0.03398524122062803,0.00210241018416532,0.581808064027926,0.3922410172688038
Local Model,partner_ii,"(1053, 21)",1,Chemical + Mineralogical + Physical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.4692809874649275,0.8444537639815967,1.9194615818325984,0.6758641891539935,0.04390150260338302,0.01601713775708048,0.41762713209997193,0.3680266920478112,4.923547070974937,3.370874629165213,3.6986782305617556,2.4737905964322717,0.08569196411909848,0.056590462497932294,-2.847010419718503,5.2917300084606795
Local Model,partner_ii,"(1053, 21)",7,Chemical + Mineralogical + Physical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.889297732619819,0.48635518447073867,1.5567857910001284,0.4563263820906425,0.036502803095218375,0.010567641808529345,0.5706815754173183,0.2468403661681279,9.405863962864238,2.3919072834324577,7.886189396880902,2.108333066184928,0.18761246220925334,0.05536328049201747,-16.861291561516968,15.386154378428335
Local Model,partner_ii,"(1053, 21)",7,Chemical + Mineralogical + Physical,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.3781907930199206,0.21841029788202365,1.1149708131216105,0.19355722435573416,0.02549959633039504,0.004249026815096587,0.8133904946123249,0.06015749762052052,1.9892018555961979,0.06508958458837193,1.5824203119623848,0.07943359122122734,0.04044379850611312,0.0021532824673369945,0.46739884139800303,0.03491251345023908
Local Model,partner_ii,"(1053, 21)",7,Chemical + Mineralogical + Physical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3209308154325905,0.08249158132678312,1.052734887025045,0.07255689531091124,0.02447938700152752,0.0015477203015305469,0.8573394666332146,0.01853077483407673,1.8290249046458413,0.3309666346758541,1.3804216094810384,0.1388833582149933,0.03226569646314617,0.0031294114211006265,0.7135395888598511,0.10708823067067118
Local Model,partner_ii,"(1053, 21)",7,Chemical + Mineralogical + Physical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6820777209296405,0.46525914697099047,1.3724206442489084,0.42529058651627555,0.03140021652070323,0.00972716682327761,0.7212766893104583,0.16036025733032536,5.9369352826016755,4.265901453156561,4.494851855222964,3.6090768888425724,0.10412374509354498,0.08200699047322682,-4.973649591996893,8.578401912177418
Local Model,partner_ii,"(1053, 21)",14,Chemical + Mineralogical + Physical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.0690398842380393,0.47076144439615136,1.6906283233975556,0.4371687209486737,0.03931310347407708,0.01011362043277077,0.4602379110332887,0.3152060063279063,7.778755579542024,6.600704273644997,6.825249166214888,6.334058533477228,0.1627692669588063,0.15061003674993084,-27.513251879351525,43.37313606457963
Local Model,partner_ii,"(1053, 21)",14,Chemical + Mineralogical + Physical,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.3705757896851398,0.07780028591598773,1.0932636681252268,0.05381359899231456,0.02472274072714237,0.0011488965045287596,0.8178549026230936,0.020359171494806327,2.336535615197081,0.01813302819340627,1.8841604924756428,0.03094372915112788,0.04898810780731649,0.000940718623698393,0.22696742181365748,0.01197108609465399
Local Model,partner_ii,"(1053, 21)",14,Chemical + Mineralogical + Physical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3224148710248083,0.12115709729394458,1.0546433436834675,0.10963810552857631,0.0246192901984824,0.002410814556042865,0.8559442240919272,0.02747292030315013,4.893376094552356,6.342575925068611,2.055776426784876,1.3898382491332364,0.048100151204406666,0.03232571609722031,-4.46803501570798,10.69402270320548
Local Model,partner_ii,"(1053, 21)",14,Chemical + Mineralogical + Physical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.3981964237240954,0.23378271234797177,1.098093008214296,0.1829899539338929,0.025132987726845617,0.004196287671314046,0.8131923726117765,0.06265928768502829,5.173616922699072,5.251337249785668,3.9935823018702385,4.239882251364999,0.09311599411448386,0.0963967227335542,-5.557658936534482,14.50869803404134
