Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7212226312397414,1.3932491377746166,0.03320784434592654,0.45162887325963874,1.919168535131602,1.4867318424562206,0.035260708837498,0.3749581822976754
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.854217719295771,1.4965574098444308,0.03549318600231404,0.3796985450982914,1.8907109323803901,1.519648968962585,0.03613229981271133,0.33408566947586815
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6902028609220159,1.3631402141545095,0.03238182166046483,0.4699147086090205,1.8942729323426297,1.4802122196534864,0.036030287050468436,0.3810381522632713
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.711411666891925,1.35810977935791,0.03241631510447915,0.4962251523772657,1.8925569385341492,1.585135025751023,0.03771179936657293,0.16427787605579935
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7480744214005008,1.393822935973706,0.03324611418806662,0.4329127289227279,1.9014591118300708,1.5522802651333971,0.03658040823982149,0.39182353903169953
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7263887586994044,1.4094462632159799,0.03360538719846395,0.445014825235021,2.0220622235294976,1.5687995069854115,0.037472300340527655,0.3253450265826042
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7291908055880116,1.381676174604974,0.032970435437580055,0.45771673609959096,1.7095922413500282,1.4063390604654946,0.033693690333173286,0.46766489758621754
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7762963303675958,1.4210642997585998,0.03376453044222047,0.43195089131327313,1.8469311795937735,1.5518727942226693,0.03707067538335226,0.36052263743974666
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7104868297108917,1.3888547853223319,0.03305827269454925,0.4718199288955799,1.8822811073456585,1.5228124480993572,0.036120323412642874,0.3369547512422497
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7445444694281969,1.3964223077994624,0.0332787836681656,0.45378483112080714,1.8664981802011622,1.4841827454858898,0.03525654096478821,0.33844416735858285
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8157965075625033,1.484640821859139,0.035301524625952124,0.4212275665368188,1.8763859880997706,1.4826473396975979,0.03500481060781205,0.2573671659536433
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7811675607980646,1.440563032189194,0.03428951606941484,0.41597434567922653,1.9596303291019899,1.5577912248883927,0.03714825841436551,0.339941624976033
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7571020529528438,1.422731732219255,0.034042885954187946,0.41972951539718595,1.805046891463558,1.42402266833247,0.03400010008298651,0.4804170783768069
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8162294605932272,1.4518911387644657,0.03453918669454727,0.4101117417226011,1.798060201533061,1.49980294260038,0.035698139855750405,0.37600718425799406
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7139897961177244,1.386432659382723,0.032954281476548414,0.4667075965240336,1.9605194772453336,1.5544498210050626,0.03744611695598027,0.3001457742521958
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.964424433998144,1.6142243860513483,0.03801108945785356,0.2903810806731072,2.5522161717212732,1.968720170690658,0.04625646350790733,-0.0830362780069196
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5702267888785986,1.2442639563911149,0.029433439689795407,0.557489877224916,1.989959808222842,1.5672985785734568,0.0372125616451954,0.26413357564725015
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7169141716978282,1.4096123310626578,0.03330179789672606,0.45610394787067177,2.084916718392366,1.6717691353872315,0.040637782067462325,0.26554861377905115
Local Model,partner_ii,Chemical + Mineralogical + CS1,"(735, 14)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5594358913838007,1.2563921804526417,0.029805457377445204,0.5835138777930888,1.9449787020543954,1.6260884537933566,0.03865079979412341,0.14907260647621912
