Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_ii,Chemical + Mineralogical,"(735, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.962673257399009,1.5643335717929148,0.03768540629272048,0.28698856577426657,2.2101677906390282,1.782535541523736,0.04293237973148095,0.17104045631600395
Local Model,partner_ii,Chemical + Mineralogical,"(735, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.010488860177441,1.6009942578155607,0.03857426026877358,0.2707361464154222,2.056437148902377,1.640073732500894,0.03956816278395899,0.21223084577835394
Local Model,partner_ii,Chemical + Mineralogical,"(735, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9764058462547243,1.5898101563362477,0.038187354297781764,0.27519638867664975,2.16427392276778,1.6347028211327788,0.040319288615648534,0.19201513356349786
Local Model,partner_ii,Chemical + Mineralogical,"(735, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0276748103056303,1.6062998808622446,0.038742651469382335,0.29282953234411435,1.9536507788392177,1.6006427087033492,0.038309575921589685,0.10945091797417428
Local Model,partner_ii,Chemical + Mineralogical,"(735, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0231791286862904,1.6086938717278805,0.03887447832954114,0.2403758991430861,1.965318914831919,1.592746160916083,0.03766331337267047,0.35028679582008915
Local Model,partner_ii,Chemical + Mineralogical,"(735, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9433609700514074,1.5475849698102195,0.03729752376329304,0.2967477415202233,2.286547166701633,1.8308883784103818,0.04427840699943584,0.13731345686223373
Local Model,partner_ii,Chemical + Mineralogical,"(735, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9963641882371823,1.5836313558516724,0.0381544902100331,0.2771970650010791,2.080232532738709,1.6793276310546483,0.04055382161589703,0.21182292944395542
Local Model,partner_ii,Chemical + Mineralogical,"(735, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0107978684729346,1.6002164095183915,0.03852492002676388,0.27206621247390983,2.016928637746264,1.6299803981449914,0.03952178617459646,0.23738592955088134
Local Model,partner_ii,Chemical + Mineralogical,"(735, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.017749913911108,1.6194883549716053,0.03902291527207035,0.2650171313603318,1.984994736738739,1.5405168488849426,0.036977692775081776,0.2626173410754039
Local Model,partner_ii,Chemical + Mineralogical,"(735, 13)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0342908320438022,1.6262820340197284,0.0392315134622278,0.2572789174804654,1.9656565200778713,1.5217753903956606,0.036334991055832135,0.2662863079784996
