Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_ii,Chemical + Mineralogical + CS7,"(735, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5005953338961546,1.1953927934088673,0.028598300965007595,0.5832000407260631,1.5664835829457382,1.269994855608259,0.03021346637011372,0.5835771613456406
Local Model,partner_ii,Chemical + Mineralogical + CS7,"(735, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5054460763629922,1.2067775830119642,0.028837801964236152,0.5911050432315418,2.5204791111625897,1.2464356662464788,0.029414071094424312,-0.18340744000300213
Local Model,partner_ii,Chemical + Mineralogical + CS7,"(735, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5026514038395404,1.1978719327238951,0.028539195768487263,0.5810284131596647,1.5127869260522055,1.1702074800867615,0.02826260557109215,0.6052389474583535
Local Model,partner_ii,Chemical + Mineralogical + CS7,"(735, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.48002750541991,1.1606628742347767,0.02774906982533012,0.6232380145425336,1.8088479703738023,1.5067801723350474,0.03588135517362758,0.23657192951019368
Local Model,partner_ii,Chemical + Mineralogical + CS7,"(735, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5359359936027412,1.2183727853476596,0.02906826015977538,0.5621994540226712,1.4968809160548169,1.1820120654462958,0.02795215885424837,0.6230965366063084
Local Model,partner_ii,Chemical + Mineralogical + CS7,"(735, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4659849701968266,1.1667699689281228,0.027914992934733922,0.599812776883801,1.6072683562882222,1.2404203100918099,0.029695474225876897,0.5737450025561526
Local Model,partner_ii,Chemical + Mineralogical + CS7,"(735, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.488793961566717,1.175649767246376,0.028081933225830972,0.5980152632542033,1.540193815486234,1.2400552959831388,0.029596140208284806,0.5679333171514833
Local Model,partner_ii,Chemical + Mineralogical + CS7,"(735, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4741027068784245,1.164011869365666,0.027896007539542314,0.6087894727329279,1.4478653029945492,1.157119820523424,0.027869855210781842,0.6070112931672488
Local Model,partner_ii,Chemical + Mineralogical + CS7,"(735, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5631524797001646,1.2547882108623476,0.029911134154026773,0.558891700322548,1.5841625233654633,1.2786816904496172,0.030474938206420922,0.530350709235875
Local Model,partner_ii,Chemical + Mineralogical + CS7,"(735, 14)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5120296970368785,1.2084842409406387,0.02883658769121232,0.5896822448216701,1.8221382469186254,1.254559743453045,0.029733116679332525,0.36951608779870815
