Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,partner_ii,"(735, 14)",1,Chemical + Mineralogical + CS3,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.4762411136319034,0.23882889223587495,1.9762935561916428,0.17096309952493421,0.04729127491182172,0.004515705280632177,-0.5934960656263274,0.6170548933340868,5.4012704826162174,1.9112127784668225,4.286633792792426,1.614539716817898,0.10407336830620868,0.04187858323195955,-7.08051021047588,4.323985071301757
Local Model,partner_ii,"(735, 14)",1,Chemical + Mineralogical + CS3,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.4879053974114413,0.021205861265911542,1.201901057755866,0.016770124202463214,0.028282080813585853,0.00038808530621643826,0.4761475941105428,0.014933542665666943,2.5371530916244405,0.015132974686000401,2.022215222209489,0.021887091130563623,0.05262470128209984,0.0003982046618408009,-0.3081261522782228,0.015597939535781286
Local Model,partner_ii,"(735, 14)",1,Chemical + Mineralogical + CS3,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5373279346020103,0.03968425233696985,1.2413383899956874,0.034519516519731765,0.02957928190401504,0.0007824529410818022,0.5706455577479724,0.021215258438166653,1.8137644555774761,0.09306802494442681,1.4442039297367708,0.08916645660166063,0.03443667048302718,0.0021200510316865245,0.3942752399549795,0.0798096591353278
Local Model,partner_ii,"(735, 14)",1,Chemical + Mineralogical + CS3,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7089263181923933,0.5510477013569361,1.3459539099875604,0.3970835022135616,0.032111247381471315,0.009783124296561507,0.08816800801536691,0.8034796229868171,3.314660040105632,1.5750145795350932,2.554842061485749,1.0139480125444924,0.061479999838942326,0.02388989805626531,-2.3758651525930436,3.436883722974001
Local Model,partner_ii,"(735, 14)",7,Chemical + Mineralogical + CS3,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.3162363911868133,0.23548224664749726,1.0568532588374508,0.20343324255527456,0.02548680126934459,0.004812122735391189,0.5453213473103463,0.16952617581856838,8.37401573104057,3.2788412491008225,7.157193783018324,3.200194054322674,0.1722046061716887,0.08168111958745045,-19.860827043802747,12.093341750942757
Local Model,partner_ii,"(735, 14)",7,Chemical + Mineralogical + CS3,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.392945747593204,0.05158413771209785,1.1041660938940236,0.04677866230513274,0.02649917183870436,0.0011320014774010769,0.5412485065045897,0.033647216111992034,4.481525404591443,0.38448858951563064,3.747599422012943,0.48980997476859367,0.09631319326408964,0.012266057159417677,-3.4146908482835534,0.7464770429992917
Local Model,partner_ii,"(735, 14)",7,Chemical + Mineralogical + CS3,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4467902554568386,0.12773716897257983,1.148776717108413,0.11108273282744494,0.027867181200713565,0.0027065362851010195,0.6191184966986883,0.06807713478134035,2.7588504828302196,0.8745341150797625,2.0321376746788657,0.3099099818471369,0.04927737049952572,0.0073179232782917035,-0.5140016860291114,1.2589567134668804
Local Model,partner_ii,"(735, 14)",7,Chemical + Mineralogical + CS3,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.3117028401030997,0.16204826258560118,1.0458555838581511,0.14177556588459359,0.024928277430292533,0.003420228667458134,0.5354276166524367,0.16439722968339207,4.19400761838294,1.4375913189766842,3.4531688099565176,1.1607367767219154,0.08235002609407478,0.02614636790484968,-3.9771144359817643,4.009878693754928
Local Model,partner_ii,"(735, 14)",14,Chemical + Mineralogical + CS3,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.342915349867339,0.21999688812103632,1.075742503826435,0.18777421554123655,0.025861190875799838,0.0046878554453495935,0.5449491410435584,0.09674576046441705,5.912611360117669,1.798907222531278,5.201727283851772,1.7778330005701402,0.12406957069705023,0.040437017578110156,-14.2107344469749,8.673612587058216
