Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,partner_ii,"(735, 14)",1,Chemical + Mineralogical + CS3,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.523222816315199,0.9610807439463883,5.090339457107065,0.8465289697496563,0.12153509451383403,0.019763010602553158,-9.513953855682606,2.2334046235884664,10.545468080440907,3.872130225772395,8.863600500912137,3.4950471799949203,0.21455451981975995,0.09372545931431171,-29.258985867586155,14.794564974051436
Local Model,partner_ii,"(735, 14)",1,Chemical + Mineralogical + CS3,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.7209032836145457,0.08379867441470079,1.3920607306032764,0.07484303698404153,0.032593054717926034,0.0017003881831497768,0.2977179175735088,0.06935605927038703,2.4301483611530585,0.14814978656296046,1.9052463505543817,0.14961343752094874,0.04937988022899811,0.0037738817372964823,-0.20452960923459917,0.14564645988818492
Local Model,partner_ii,"(735, 14)",1,Chemical + Mineralogical + CS3,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7157234996385209,0.061838916997675075,1.389061009897937,0.055926495086060984,0.03304182285488584,0.0012851327860375474,0.4648996872079768,0.03749506108698231,1.9602909307357599,0.11670186746816222,1.5644603364905534,0.08705715579691745,0.037261496657650266,0.002041534559910846,0.2890298632203254,0.12351764745170474
Local Model,partner_ii,"(735, 14)",1,Chemical + Mineralogical + CS3,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.993020713798889,1.3814038315059258,2.334660723112968,1.032998809084946,0.055589779293083064,0.02510195591820367,-2.122238453957588,3.09752019189417,5.792843446729595,3.6036235771670397,4.785190680748778,3.115798692689778,0.11338868320490018,0.0721927383245107,-10.884019961691656,13.521280899791217
Local Model,partner_ii,"(735, 14)",7,Chemical + Mineralogical + CS3,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.9328692181173943,0.36548537447691093,1.5517986368631813,0.32048341614112175,0.036947742681311256,0.007604421499867554,0.0002776989592164547,0.4437980739708958,13.43337178416036,7.564243373494827,11.318163902494643,6.888926247937004,0.2745476181455783,0.17633823482724317,-59.73303975294791,62.481610987560515
Local Model,partner_ii,"(735, 14)",7,Chemical + Mineralogical + CS3,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.5873900462105848,0.07056123116169537,1.2813304889761978,0.06846008250414742,0.02992287743577895,0.0015035960278673307,0.40387342132723525,0.052422195261021834,3.4300087024565573,0.3930403041370543,2.733960896665605,0.33417381750632646,0.07057331990222825,0.009352951371399267,-1.6008748880647679,0.5924099236946408
Local Model,partner_ii,"(735, 14)",7,Chemical + Mineralogical + CS3,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7061785359951551,0.24616715455547886,1.3827472020484601,0.22019759735320887,0.032759644006015574,0.005050806171686104,0.4624447001587454,0.16253689398760593,2.222979790686975,0.2794075697426726,1.7781807814433501,0.22165097380171783,0.042353276514353874,0.00508105289732961,0.10527948892527471,0.21430216815098874
Local Model,partner_ii,"(735, 14)",7,Chemical + Mineralogical + CS3,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.9083071792778186,0.3488504431591221,1.5488946968660047,0.32530490932397677,0.03664155612966942,0.007333981199536255,0.01495854022714255,0.36010962028609544,5.694250578773355,3.5494426831788863,4.641523813883464,2.9055644223527937,0.11022882467078318,0.06782381095674768,-10.735244147727094,17.03592706906559
Local Model,partner_ii,"(735, 14)",14,Chemical + Mineralogical + CS3,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.878274208095786,0.42073788583321675,1.5223139784397224,0.352882172361819,0.036510431825072895,0.0080691709804919,0.016783112641211705,0.5828056254603149,19.406724692226007,14.200493474969633,17.257908436120726,14.023284152710696,0.4164121433980829,0.35261800808697713,-216.4409078144976,310.7747860120464
