Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7,"(244, 16)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4158328792736765,1.110976793778828,0.023509389204841285,0.7326929218645224,1.3682665577808166,1.133595004718096,0.023782196838959935,0.645815848605855
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7,"(244, 16)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4325448944962713,1.1330244206502964,0.024024834374938075,0.7050104475424284,1.3234653200867752,1.0187176355717094,0.02122001398245721,0.7622136857242127
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7,"(244, 16)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3461419515755342,1.045916229661879,0.022179625436837828,0.7383952037785821,1.6807308523397688,1.422226615706781,0.029648938557633616,0.6105795597429156
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7,"(244, 16)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4355269326158568,1.144406024547486,0.02419716567479009,0.7051403783519944,1.3150707920270657,0.9879562007116456,0.02098546451146107,0.7593422091067368
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7,"(244, 16)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.296311998050751,1.02245536745085,0.0214609705306111,0.7555788576144299,1.8824338858896492,1.4986031507930975,0.03256693824550535,0.5179874184349211
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7,"(244, 16)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3431663262254079,1.0639062577473397,0.0224981024987593,0.7411348643021399,1.669149814436749,1.3644170070497617,0.02873398946716381,0.6235129948483789
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7,"(244, 16)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4095200424606344,1.135820800080551,0.02397932559312528,0.7296934115476421,1.4102776938501569,1.0004899157780205,0.021450707406160775,0.6590870734437541
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7,"(244, 16)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.411152797348747,1.0953099812819966,0.023149630805839535,0.697344749362123,1.392919163952263,1.1341599352579206,0.023985392708400343,0.7834750869675633
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7,"(244, 16)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3843094637287396,1.0832967897526464,0.022926113386093024,0.7367558700181553,1.5700489659130872,1.2683513683127352,0.026649061946201938,0.5993504695583374
Local Model,partner_ii,Chemical + Mineralogical + CS3 + CS7,"(244, 16)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3982402000140455,1.0747379117541318,0.02272149922258129,0.7251802656270154,1.4567103028373365,1.1946481780390645,0.02525357279680404,0.6896270440735187
