Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_iv,Chemical + Mineralogical + Physical + One-Hot,"(958, 34)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4576451465275353,1.1225323241311016,0.02278038115474575,0.9507094487211228,2.4455922730519024,1.8983746290206909,0.03812519354875581,0.8708771125918315
Local Model,partner_iv,Chemical + Mineralogical + Physical + One-Hot,"(958, 34)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5329799775010373,1.194464311525031,0.02432238245863264,0.9462400974405947,2.2624501880028602,1.7459949254989624,0.035529593546379974,0.8833461260475569
Local Model,partner_iv,Chemical + Mineralogical + Physical + One-Hot,"(958, 34)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4436129201985677,1.1200263120486904,0.02301138831752245,0.953650745830096,2.084361777033835,1.510863677660624,0.030624947294683135,0.8883406095896873
Local Model,partner_iv,Chemical + Mineralogical + Physical + One-Hot,"(958, 34)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4588421672603014,1.1224412960365824,0.022778253870351695,0.950743902458726,2.4862085714555007,1.8775229149463912,0.03875047566968573,0.8652241244883817
Local Model,partner_iv,Chemical + Mineralogical + Physical + One-Hot,"(958, 34)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5395113728115029,1.2123848647772877,0.02475987879793288,0.9458337757622276,2.1595489409639046,1.6425044793733132,0.03370472427485126,0.8932774848676996
Local Model,partner_iv,Chemical + Mineralogical + Physical + One-Hot,"(958, 34)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5178493946480065,1.1911931767476134,0.024358490335933715,0.9461095619827892,1.9694954347294826,1.5047623634338378,0.03095952173075153,0.9179608302894873
Local Model,partner_iv,Chemical + Mineralogical + Physical + One-Hot,"(958, 34)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.411734735117879,1.0917698016054636,0.022380054109149807,0.9544094757729185,2.167071079121506,1.6857985734939576,0.03457027430405953,0.8929634680429979
Local Model,partner_iv,Chemical + Mineralogical + Physical + One-Hot,"(958, 34)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4158647060795753,1.0908732132874333,0.02230179146634001,0.9549828942112458,2.2115889156514394,1.744020307064056,0.03551880709850664,0.8794710969161118
Local Model,partner_iv,Chemical + Mineralogical + Physical + One-Hot,"(958, 34)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.480565136024485,1.1574921629108692,0.023785596812288926,0.9491868709057915,2.322742885357781,1.7327032119191754,0.03524116043671233,0.883148824245575
Local Model,partner_iv,Chemical + Mineralogical + Physical + One-Hot,"(958, 34)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5148933651069074,1.1696053804599011,0.0237144822037386,0.9485192882784312,2.309863730650329,1.8232141664514991,0.03701806771969656,0.867501697494294
