Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(958, 28)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.9581108859157816,2.280686757321058,0.04744533734960987,0.7970033116583379,2.928958385435704,2.3229787388530228,0.047735994054210494,0.814791239815405
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(958, 28)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.9789970156917236,2.2994440436362527,0.04774858277871235,0.7969861608293354,2.8339235078317766,2.2408667466158794,0.04678181756689808,0.8169720729532916
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(958, 28)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.911711240633988,2.2614594478894974,0.04714730388069401,0.8114450945165559,3.1249650874765367,2.3828060419067607,0.049769244728532336,0.7490198404810267
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(958, 28)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.9212017530883965,2.242603646283279,0.04654154635242762,0.8025002774118288,3.0974476769842796,2.498343680932758,0.05219760767712091,0.7908080343837849
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(958, 28)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.904296548198958,2.246408429320914,0.04680754478434995,0.8072276784293115,3.181919087651296,2.4260272808244068,0.05052069782552868,0.7683095068244261
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(958, 28)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.9517754633248665,2.306272359269239,0.04788966622494072,0.7961921128682372,3.110810922059896,2.3138852718888856,0.048920563821319187,0.7953279546354696
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(958, 28)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.9456333802118677,2.252371797544622,0.046854797591532334,0.8015158780680267,2.9914758532545407,2.3961753565146418,0.05046304125452802,0.7960344973324293
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(958, 28)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.9561010246422708,2.27497637468413,0.047400275804254155,0.8037667475594268,2.9285300469524866,2.3507657051106494,0.04830967000922709,0.7886599706187735
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(958, 28)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.8884334858396623,2.235555313611391,0.04651096474738846,0.8066048203802899,3.2167828078623066,2.5214884082035947,0.05242468335213675,0.7758832646187921
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(958, 28)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.931281350742877,2.278008086011023,0.047366215526725555,0.8072495390240693,3.0385190030793425,2.2807808112493357,0.04719365218885465,0.7707224624848401
