Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0576119345309074,1.6276548627823118,0.030190122582431388,0.590271402966367,3.161670610091512,2.6031226264105913,0.04838985411874804,0.37442210457142877
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2012241777701576,1.7873770032610217,0.03299967998801905,0.6117950786401061,2.129676121746599,1.7113066052633619,0.032343980292491636,0.3596527468189499
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0861107467236284,1.6712855626666356,0.031043739151800465,0.6126074624058344,2.7124388334878584,2.0842398507254467,0.03861213340673161,0.4079329482801558
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.083138414539041,1.6445743469964893,0.030478978306952176,0.6277111390763226,2.4927981021894827,2.0676721603151353,0.03879181555235728,0.4245840917875867
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.160538894043111,1.7332985893128414,0.03219456881452433,0.6001681869064764,2.6914726317406767,2.1143864949544273,0.03795128091198798,0.30482632860817793
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.160914227559156,1.7502602229042659,0.032399515954942774,0.5986185692530905,2.4218439982058495,2.0016921512664316,0.03681091948062695,0.451527223326585
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1859882030065836,1.7436590588282026,0.032228811799934434,0.6123741631878075,2.4762196460138712,1.9950556194971483,0.0378436785213722,0.18923491626603128
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.096456200211089,1.673835575769818,0.03105420172887599,0.5997910277225914,2.9988924236297643,2.4104682316855777,0.04357580135702209,0.30843018617473006
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.165296889146441,1.7421683992658346,0.032306165077533706,0.6086129339035633,2.5044435846577695,1.938091907803975,0.03521378495316053,0.3379770791915929
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1124448914646528,1.6705616300068207,0.030865247414271827,0.5717787696922724,3.2126694883049782,2.654547712537977,0.049908286155327324,0.3298682089280609
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0370273048612675,1.61523980337476,0.029882607730225177,0.6172602403024594,3.2533132985441773,2.56131827944801,0.04744351499685204,0.2353519033531637
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.180156957587444,1.7673362459455217,0.03274075424149823,0.6095258184483341,2.654985420815137,2.0536760360475577,0.03792608472689532,0.1917731658760773
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1689860900711553,1.7418431357731896,0.03222596482286332,0.6120267112608608,2.1515230520255852,1.739059520903088,0.032571552877392,0.4784336925135273
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.107049934619655,1.72152160462879,0.031979953437993036,0.6035566824191347,2.689641988413406,2.2054500277080233,0.04013268743154861,0.40881061578659306
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.142975048938092,1.7057304957556347,0.03159033679344066,0.5844724256025476,2.8356098285940687,2.2769651745992996,0.04212295880986237,0.39146667800635304
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.8213021379447016,1.4035191802978517,0.02571050329716615,0.7479989311354636,3.3312020790673844,2.714324012169472,0.05428299390975479,-3.4018808850753572
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.0116984551425587,0.8091003112792969,0.01565439709265412,0.8603332563536598,6.328799219946508,5.466837956355169,0.0902183232762923,-1.6698043033189132
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.2870764395304812,0.9915962066650394,0.01806021253850378,0.8863816037552006,3.0905190205924837,2.4895149230957028,0.04368267780349053,-0.7994415199019245
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.8294039936263998,0.6918025360107423,0.012549778090894644,0.8376534621944585,1.8069282487911447,1.352223146878757,0.024166966894274118,0.1522764500365289
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.9228179488765461,0.7091858062744142,0.013373024108574796,0.8509876668758183,2.2376312864624666,1.8258702204777644,0.035489848609066114,-0.22100653347999888
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.9016257288087866,1.4633330189098013,0.026839545518059157,0.7198607223343656,3.496052032009512,2.9793213184063254,0.05901368579668439,-0.8243364912198321
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.0231859783222292,1.6443752324469738,0.03094240371614938,0.6387505567327032,3.577637935059003,2.9652644670926613,0.05203572080221874,0.22483380436497902
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.074018969624597,1.6147002454073927,0.030113738997166867,0.721345787731855,3.499076571731008,2.855265705402081,0.050488765608087446,-0.6442439783597937
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.0671479236643773,1.6519010570941945,0.030533838339058025,0.7051438597159169,2.4418265019357968,1.9884936552781325,0.03612448542187838,-1.0043667468526465
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.1419950601908644,1.7015122852397966,0.03144099477260347,0.6247380948696886,3.1113240642403768,2.6017695206862226,0.04996600189718403,-0.6951417096509864
Local Model,partner_iv,Chemical + Mineralogical,"(315, 26)",,XGBoost,,,,,,Out of time Split,"{""Test Size"": 0.2}",2.129043841957793,1.7385143128652425,0.03211320607950635,0.6417005113859291,3.2754074940617706,2.6648739042736236,0.051116031177684956,-0.961646612213414
