Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.493865156052028,1.1700648788333863,0.022402743302133623,0.6868731825150034,2.9508897796854856,2.3322962012657755,0.044818504722651274,-0.5161457034751917
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7244624656414238,1.4168541989585226,0.02712151884102597,0.579441907559667,2.9867944766397825,2.4139505591759316,0.04613221494763308,-0.47281811550685915
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6365002137432625,1.2755724707315137,0.024340569954118294,0.6100821629854674,3.0606614789929467,2.4868156667856063,0.047775642623874306,-0.36175486374949983
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7399083530087693,1.3261414369561035,0.025096664519122548,0.5393643065934189,3.3471045597217026,2.743512487411499,0.05283308732006413,-0.41487589578334383
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7478538847767666,1.3821605196330542,0.026456521905934133,0.5413290664299716,3.6590919853189665,2.875339162349701,0.05404805408521967,-0.9605200283124169
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7070725578870625,1.3484937386919362,0.02586412047676612,0.5468186848922485,3.698955174617346,2.8692235858623794,0.05445833751328159,-0.5891133127309522
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7560719334950683,1.3928367792173872,0.026687120540689425,0.563382289246513,3.6298245405920366,2.964646430382362,0.05645485566713937,-1.1622593372466365
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5743248367839102,1.1981505135233088,0.022906413204143827,0.653902087733222,3.086789498459331,2.478673964280349,0.04786387603069778,-0.6715429210607158
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7541406251085983,1.4103894473042726,0.026992414400558183,0.564703309024007,3.59231116474497,2.6994820475578303,0.05180851807219139,-1.1275135710419564
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7626664129724647,1.400813122605725,0.026664389738931493,0.5313788170539404,4.6503580092166885,3.3072570800781254,0.06403323404287314,-1.756117938830327
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7266375646507843,1.3712054910585862,0.026135412151164873,0.567649857489148,3.470715701996026,2.655656245304988,0.05100665450217067,-0.7930412393521389
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5426402198829647,1.2318938410559366,0.023701467562638696,0.6711802414414416,3.4419475491987903,2.6169731961763825,0.04976611078084807,-1.2300750011278883
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6055226419890873,1.2824547937674118,0.024669404634347157,0.6399052680077372,3.987334649466458,2.9253459989107573,0.0571175893603425,-1.777590783603595
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.519495281656242,1.1566702618101852,0.02200829487690338,0.6515411905932025,3.6358421741527196,2.991168892383576,0.05791737121274779,-0.7288144312837792
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5143614292814174,1.1833912558537192,0.022605710410006533,0.6423295958536734,3.780728133722532,3.0581275701522834,0.058084872935040555,-0.678346799849441
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3952346376260643,1.109502105107383,0.021450777715951556,0.7299791972588874,4.594194527708992,3.660202944480767,0.0707754821612882,-2.5322472601824555
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3265660971309776,1.083761469523112,0.02083932978611617,0.7541963961775564,3.7761279746921077,2.972451639983614,0.057611832086313035,-1.2685695536652046
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.282666325904105,1.0236702540564155,0.01963871243234853,0.7645198631136465,3.901149960250702,3.3358892279156187,0.06443136214968302,-1.2123036089421841
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(323, 28)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.132577687691419,0.8868224735787733,0.017005530300962007,0.8078892475883204,5.027736834489897,4.219144637009193,0.08118721586003669,-2.2338641800836485
