Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_iv,Chemical + Mineralogical + Properties CS Less,"(323, 33)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.968637480866097,1.4460989101912625,0.027590971348542118,0.45621281642943423,7.241795381214173,5.649059401292068,0.10972037860923517,-8.131191736577273
Local Model,partner_iv,Chemical + Mineralogical + Properties CS Less,"(323, 33)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.369124979514865,1.8162797410358753,0.03468078791131187,0.20623042987876605,6.462309658717071,5.055982947716346,0.0977113964521833,-5.894677667855496
Local Model,partner_iv,Chemical + Mineralogical + Properties CS Less,"(323, 33)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.060655453396719,1.5728754472362902,0.03002595736926133,0.38176763720077556,7.029767705946073,5.3168635441706735,0.10212246442639333,-6.183734754376544
Local Model,partner_iv,Chemical + Mineralogical + Properties CS Less,"(323, 33)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.53024844192898,1.854340427354496,0.035333379033481396,0.025838025591610525,7.90529626854354,6.339944034814835,0.1222261520055129,-6.8925272580686
Local Model,partner_iv,Chemical + Mineralogical + Properties CS Less,"(323, 33)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5379267924213353,1.929586276492557,0.037145364027389695,0.032949503734815644,8.502301799135425,6.822450935840607,0.1298547965422078,-9.585165731917405
Local Model,partner_iv,Chemical + Mineralogical + Properties CS Less,"(323, 33)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1892337581209738,1.6877948228702988,0.0323012942721851,0.2546636429574919,9.518438867205333,7.234616006704476,0.13904318242500324,-9.522723991041754
Local Model,partner_iv,Chemical + Mineralogical + Properties CS Less,"(323, 33)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4125629930632675,1.7440374951029933,0.03343405521560992,0.1759110930155099,6.8929827891172275,5.520242497370792,0.10506936092343594,-6.7974195824776995
Local Model,partner_iv,Chemical + Mineralogical + Properties CS Less,"(323, 33)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.014282588209089,1.470224968961967,0.028243062259493034,0.4334332509744091,7.237034369670775,5.3642803016075735,0.1037934994963933,-8.188080146590364
Local Model,partner_iv,Chemical + Mineralogical + Properties CS Less,"(323, 33)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.075803268726257,1.5601866438582137,0.029849568581445125,0.39042249045044375,6.5346890968924,4.917324423789978,0.09400280923375703,-6.040026640790425
Local Model,partner_iv,Chemical + Mineralogical + Properties CS Less,"(323, 33)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.212597013821764,1.6344171295755154,0.03133659997621978,0.26160915854630207,7.2413168199012174,5.419619214534761,0.10465089818697887,-5.682825466236418
