Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_iv,Chemical + Mineralogical,"(323, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7975247336918676,1.4565009035805399,0.02802099824333316,0.5466358045167079,2.0834775933019736,1.701800454946665,0.03317178315841786,0.24419000382563216
Local Model,partner_iv,Chemical + Mineralogical,"(323, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7607852366053003,1.4444238411363706,0.027812809430713837,0.5615386885716959,2.034038126533903,1.6111337045522838,0.031156512012944487,0.31694351862260706
Local Model,partner_iv,Chemical + Mineralogical,"(323, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6795981359607102,1.342240648491438,0.02579222195445711,0.5892744329082543,2.111570492251211,1.7810915902944713,0.03443830348490493,0.35184405514939565
Local Model,partner_iv,Chemical + Mineralogical,"(323, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6454508416324196,1.3383077997038264,0.02572506773054066,0.5880213925166984,2.5715283741445103,2.1890958666801454,0.04268313738802673,0.16485395192386954
Local Model,partner_iv,Chemical + Mineralogical,"(323, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6686357863088626,1.3455546876178286,0.02606522734924915,0.5819636203641344,2.4486465459337015,1.9643738746643062,0.03657527571440769,0.12203575411522338
Local Model,partner_iv,Chemical + Mineralogical,"(323, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6673461229999085,1.340544705058253,0.025824127966259543,0.5676658301671607,2.3789772629628336,1.9087827359713045,0.03663997729545366,0.3426792959459366
Local Model,partner_iv,Chemical + Mineralogical,"(323, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6914373770402475,1.3383220879606499,0.025828379540466254,0.594931388560098,2.2192931026823857,1.8650678898737978,0.035532993628989,0.1917125363969051
Local Model,partner_iv,Chemical + Mineralogical,"(323, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7437228419216186,1.4341389471246289,0.027611240888158087,0.5754144605921765,2.1500449648292324,1.7759258915827825,0.03423085890351262,0.18904157554373568
Local Model,partner_iv,Chemical + Mineralogical,"(323, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7207379034718022,1.3969008957557238,0.026911815893183328,0.5811234935831677,2.0241014704458005,1.7243835210800165,0.03313048868895494,0.32455653577976684
Local Model,partner_iv,Chemical + Mineralogical,"(323, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6494127673445467,1.353519905119789,0.026064240426157483,0.5896633001348673,2.332654813997542,1.8520469427108763,0.036143415133695594,0.30653272035589085
Local Model,partner_iv,Chemical + Mineralogical,"(323, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7170227033078294,1.4121335938919422,0.027111225182723492,0.5724515745028353,2.1371754323171004,1.7220741037222052,0.03353709810874572,0.32011956533309227
Local Model,partner_iv,Chemical + Mineralogical,"(323, 26)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7347057472960863,1.413449182436448,0.02728503505945388,0.5842040636805863,2.0399811485774455,1.629293388953576,0.030971266551682565,0.21663659107323463
