Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,partner_iv,"(323, 27)",1,Chemical + Mineralogical + CS2,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",14.763824461194766,2.106012695499768,11.586383821824018,1.8198570848391837,0.22227107284825953,0.03481248850403466,-36.057322125865994,13.317669639342675,19.202987052970496,4.2612444818631126,16.437138015551444,4.0879135301389375,0.3188000502563921,0.08172486163792848,-168.52880664973173,160.44984436341252
Local Model,partner_iv,"(323, 27)",1,Chemical + Mineralogical + CS2,LSTM,Out of time Split,"{""Test Size"": 0.2}",3.8374777411938488,0.5715921169623376,2.9993093692671113,0.47354924435909584,0.05741628648294303,0.009138579686270852,-1.1249103679975512,0.6515975816068763,8.767505078733198,0.7179650829819914,6.681093155298477,0.5680674211063539,0.1297991668463009,0.01078288787852323,-12.817070197065924,2.1829992018103845
Local Model,partner_iv,"(323, 27)",1,Chemical + Mineralogical + CS2,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.784964930715195,0.5156961749727909,2.9823531561240446,0.4027758353372907,0.05719795694225798,0.007763341171230612,-1.1262480297721174,0.5864292091595049,6.790583445989977,0.5335618225259913,5.356257986331597,0.35392972664244726,0.10272984139086393,0.007060644347152749,-5.959508045468249,1.2747801019995157
Local Model,partner_iv,"(323, 27)",1,Chemical + Mineralogical + CS2,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",8.025751115259306,4.497378046086055,6.176546343876168,3.4830650078806773,0.11905170186158129,0.06764042218051802,-15.018110757029353,18.258290175400578,15.292153804655914,7.74630594947755,12.730387394893093,6.994901436351844,0.243969765002032,0.13284383869479727,-47.06229330976245,42.03306878289374
Local Model,partner_iv,"(323, 27)",7,Chemical + Mineralogical + CS2,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.240144942420509,0.43564577149580797,1.772242786548756,0.35235847424143807,0.03377008505392081,0.006686857284246858,0.15353519589335213,0.35105536469732607,15.639616027586413,6.641454991565473,13.970962389991398,6.506945407745669,0.2712626526044986,0.12518672522533802,-411.5064101702341,579.8470274075704
Local Model,partner_iv,"(323, 27)",7,Chemical + Mineralogical + CS2,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.7018490896840284,0.2068319791612769,1.3539941606067476,0.15884785003136376,0.025919683627098487,0.0030305700550379458,0.5921107700312563,0.09668252356703401,10.8133505254416,0.1553933265380043,8.752268218994141,0.13521079258356264,0.1707900431861349,0.002395326883592508,-21.630402260594412,0.6499211643359577
Local Model,partner_iv,"(323, 27)",7,Chemical + Mineralogical + CS2,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7391463783250587,0.26420369141836575,1.4008108348444757,0.24480312868389897,0.026890173710301463,0.004715808839340728,0.554261101189192,0.14824312562067024,5.573555469146064,0.9539536529010759,4.426244830620723,0.7823418262595294,0.08513415321901258,0.0150992280223474,-3.7761727575518216,2.044490297745236
Local Model,partner_iv,"(323, 27)",7,Chemical + Mineralogical + CS2,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.1803672774618432,0.6690419612782709,1.7391102567486583,0.548824017421255,0.03349664285001818,0.010706000284062276,0.10443377746483815,0.604104181602033,14.126992983220495,5.557914248593815,11.74656490839965,4.9121131460191805,0.22491761842996535,0.09034052855976475,-40.68756587289191,35.154688734634945
Local Model,partner_iv,"(323, 27)",14,Chemical + Mineralogical + CS2,LSTM,Out of time Split,"{""Test Size"": 0.2}",2.052563964736407,0.4980414611183689,1.6596124911146102,0.46478578364112055,0.03176246434387322,0.008793789600059132,0.3889397271143625,0.3028848082545961,9.891580497595745,0.828816697759851,8.176346294696515,0.7239220486243798,0.15882932206439423,0.01417024685631093,-21.93795355744487,3.84725920815945
Local Model,partner_iv,"(323, 27)",14,Chemical + Mineralogical + CS2,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.055101599900207,0.700816040384481,1.6772428342090178,0.6477065078822302,0.032150035722674636,0.012307047478806829,0.33836545796728656,0.5074224870597457,4.855001074667485,1.3521142596880482,3.892587855048009,1.0893477377891652,0.07460700424951307,0.02060769854284868,-2.6579552457108817,2.085357908796519
Local Model,partner_iv,"(323, 27)",14,Chemical + Mineralogical + CS2,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.2798317702602207,0.6649185642893873,1.890088672291703,0.5901569349836348,0.03633276317469371,0.01130234463367267,0.070963171776945,0.5698970333835107,16.197991126333363,7.483266204535868,13.898856725533802,6.560256334017553,0.2652681572349813,0.12452342292127674,-54.00543845288853,40.28320770459844
