Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,partner_iv,"(323, 34)",1,Chemical + Mineralogical + Physical,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.4306140671377947,0.09980990238941533,2.0049836371926704,0.10622687236199686,0.03926363209174914,0.001976121218751552,0.03666613210611542,0.14800684283301607,2.560063699206064,1.0566257372263517,2.2334217130220853,1.0917054090975413,0.04463913377162653,0.023673890851125468,-1.865391003778448,2.3605153151673073
Local Model,partner_iv,"(323, 34)",1,Chemical + Mineralogical + Physical,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.3098118541861836,0.03682292566441937,1.0877304096862637,0.04837849621362124,0.02106662705045297,0.0009265525179008147,0.7576294475648154,0.013745042004992852,2.8275296094639644,0.13682152068612746,2.20427250397511,0.1312097585180046,0.04292556377540485,0.0027177762670213346,-0.43084091388239804,0.14013501769117143
Local Model,partner_iv,"(323, 34)",1,Chemical + Mineralogical + Physical,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2383515995788714,0.08381552508290355,1.013661422250719,0.07795516726924882,0.019695875491825242,0.0015226170854759648,0.7753849552863968,0.030352923394880903,2.1937477072311324,0.2021834937316199,1.7547854261642848,0.20363291842735282,0.03402107017392668,0.004129822650525512,0.2699893041043118,0.16550452300323681
Local Model,partner_iv,"(323, 34)",1,Chemical + Mineralogical + Physical,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5911562818486606,0.4422379707089382,1.299107490548476,0.33906753078193674,0.025426135841494606,0.00694961381541017,0.5111202393966933,0.35154351118684957,2.823222862889013,0.550926075208549,2.29061604241905,0.5150566467855278,0.04448588956976277,0.010991671578386904,-0.4447989023718334,0.38695103892558746
Local Model,partner_iv,"(323, 34)",7,Chemical + Mineralogical + Physical,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.543747882399628,0.21891819926685524,2.1263995711715133,0.2052668495758593,0.041343184834800845,0.003892420036943064,-0.04990193849537893,0.14124757755060313,25.76502624089131,22.153158780236556,24.598331699314574,22.420691163206406,0.49636044118424255,0.4587847079172908,-835.0414761932947,1008.2156231688599
Local Model,partner_iv,"(323, 34)",7,Chemical + Mineralogical + Physical,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.6990276453803304,0.03704964858099891,1.409097263800404,0.03432493620117056,0.02736471750417928,0.0007091457113773567,0.5991889408607284,0.01735127368746919,4.848429770137646,0.3158733190594222,3.785003834525071,0.07979134215081572,0.07420687498805262,0.0008752179749392411,-3.567974824769717,0.5799326068657822
Local Model,partner_iv,"(323, 34)",7,Chemical + Mineralogical + Physical,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5549351556232613,0.11403215390357228,1.2561533810896575,0.11386569699608907,0.024401675737271884,0.0022313756599667742,0.6486643051197473,0.06219516531178999,3.7611704489394944,0.5794054847291243,2.942392634189828,0.43578533055492463,0.05694278589385888,0.008545211676821863,-1.0935459225339428,0.6337975404124884
Local Model,partner_iv,"(323, 34)",7,Chemical + Mineralogical + Physical,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8037991773380957,0.16722441378258032,1.436009239951868,0.1403709249506635,0.02805498212903568,0.002908492687658934,0.45409926238567644,0.16153640127994162,9.345508006179397,5.315446028847746,6.804274544952609,3.8403561369177397,0.130279906348583,0.07362320599090048,-17.58236076149223,16.72472968255886
Local Model,partner_iv,"(323, 34)",14,Chemical + Mineralogical + Physical,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.8172920615379928,0.025884994727284453,1.4310873184723112,0.03370956355991129,0.02784598035101839,0.0006920772993236777,0.5475369229025929,0.012845306375686663,7.436559407876518,2.683222257372266,5.955715602483505,2.026328239882344,0.11688469085387841,0.03942075638099231,-13.55055128081372,9.036812938632096
Local Model,partner_iv,"(323, 34)",14,Chemical + Mineralogical + Physical,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8121990202786704,0.1280714806705592,1.4511068021154967,0.10952461763465303,0.028333157447338383,0.0022329450793872113,0.5315567565468251,0.0650654230513415,5.686387372019426,1.9918559204642192,4.288108239507124,1.2870744488769534,0.08232593190892919,0.02418931547823127,-4.172357153727202,3.789217879617369
Local Model,partner_iv,"(323, 34)",14,Chemical + Mineralogical + Physical,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.9873806390385826,0.18864812740840065,1.5787366765405448,0.1786686959478415,0.030917186574086066,0.003717699841580139,0.33078136506347394,0.22050364493603444,20.39982563605462,14.841755506055678,17.359431420673925,14.486525777518677,0.33174443480076415,0.2775161263127074,-98.36446293875643,101.25285887866619
