Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_iv,Chemical + Mineralogical,"(320, 26)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2698799447162603,1.0126375287771223,0.024781807990679826,0.7843435086366597,2.9793938902381294,2.2780303835868834,0.05679359059632643,-0.0881284786495482
Local Model,partner_iv,Chemical + Mineralogical,"(320, 26)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4214663016988118,1.0962003320455551,0.026641376145529215,0.7390918405855869,2.8901288034696897,2.3481626391410826,0.057467944869875096,-0.13166338957514867
Local Model,partner_iv,Chemical + Mineralogical,"(320, 26)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.422427559743439,1.1107929438352584,0.027135536195475866,0.7148614097425676,3.0967476103263762,2.5245586395263673,0.061557365750935504,0.031146888474955503
Local Model,partner_iv,Chemical + Mineralogical,"(320, 26)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5373232495042586,1.2229700088500972,0.02961080623037502,0.7044717827666825,3.195382486015888,2.5963396787643434,0.06313690284304263,-0.6021729768023749
Local Model,partner_iv,Chemical + Mineralogical,"(320, 26)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4139983047418323,1.1135828375816341,0.027201896172963556,0.7507757495054279,2.5024000239147495,1.891549408435821,0.04582775802797763,-0.02244818565242901
Local Model,partner_iv,Chemical + Mineralogical,"(320, 26)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.366421651777272,1.0600363761186598,0.025964955175060405,0.7595414412439384,2.6967625100699633,2.0899214863777154,0.05008119996486559,-0.025072715357896902
Local Model,partner_iv,Chemical + Mineralogical,"(320, 26)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4055253555823042,1.1167268037796019,0.027179096174044293,0.7522593712989376,2.9919414496345187,2.387241077423095,0.05902978510717716,-0.4327129504276457
Local Model,partner_iv,Chemical + Mineralogical,"(320, 26)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3548765349644563,1.0425183773040767,0.025295561583881,0.7488877568128529,2.811898678561716,2.218591785430908,0.05436482628367887,0.13110879750027282
Local Model,partner_iv,Chemical + Mineralogical,"(320, 26)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.427838140016275,1.1242046296596526,0.027551622671768628,0.7301415763977666,3.040136825830466,2.3075467944145203,0.05605078888892001,-0.1356096464086618
Local Model,partner_iv,Chemical + Mineralogical,"(320, 26)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.533985741343509,1.2078547984361645,0.02930572260953175,0.6957784235475915,2.8674520730844755,2.2796944022178653,0.05621630345061611,-0.1148505518835885
Local Model,partner_iv,Chemical + Mineralogical,"(320, 26)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4627154105965559,1.1286785781383513,0.027605169537410094,0.7223546422454894,3.1228473872646187,2.582553118467331,0.06357419322437123,-0.2977457313925136
Local Model,partner_iv,Chemical + Mineralogical,"(320, 26)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3721974049160635,1.079556205868721,0.026377441307287273,0.7441954007678322,2.980777850017565,2.4207517981529234,0.058529763335601774,-0.0012832023955087202
Local Model,partner_iv,Chemical + Mineralogical,"(320, 26)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3128727089974248,1.03578428030014,0.02535502472249527,0.7847281426359277,2.5169805191702372,1.9957366466522217,0.049826080191809397,-0.015617350863823543
Local Model,partner_iv,Chemical + Mineralogical,"(320, 26)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4461639626780634,1.12437382042408,0.02737589477831271,0.7333483072577976,2.8020998834341087,2.2221924901008605,0.05439122419133176,-0.12413959203492575
Local Model,partner_iv,Chemical + Mineralogical,"(320, 26)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.445871772753256,1.1398891806602476,0.027666792400543636,0.7188998170402299,2.8858114352783084,2.3139580368995665,0.05657801464246892,0.030048200476044062
Local Model,partner_iv,Chemical + Mineralogical,"(320, 26)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9210947403880521,0.7356777679443356,0.01794131366452514,0.8853784880116666,5.474826517057409,4.499853752399313,0.11328958938910955,-2.840267981073846
