Category,Company,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(320, 28)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9032663458822097,1.4912155747413633,0.0363175377750275,0.5155640741469066,2.5574012067163463,2.0267643451690676,0.050502395472597335,0.19828120929535598
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(320, 28)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4335522271689345,1.9927794218063353,0.048575425549969305,0.23529158979137454,3.766163044080859,2.9663912653923035,0.07221428812794807,-0.9216801527075555
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(320, 28)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8085532076044393,1.4653959125280376,0.03583852730209072,0.5390452845224023,3.440662057793281,2.820732367038727,0.06915804866386933,-0.19599772244986746
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(320, 28)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7138472402248575,1.350113213062286,0.03298252758092903,0.6327068892425651,3.0134112093899317,2.3813282370567324,0.058220531752260815,-0.42488724974870085
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(320, 28)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.915923308331846,1.514814642071724,0.03686602152557592,0.5424392503623927,2.6654629907477734,2.0227399587631227,0.04880836400755982,-0.16004049837553835
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(320, 28)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.149795380784859,1.723747357726097,0.04205160401098616,0.40479712487052144,3.477282048309367,2.453185629844665,0.05932879758708011,-0.7043120192539636
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(320, 28)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.831791297060915,1.478287190198898,0.036078114898256894,0.5792037617608984,3.282901833937954,2.666428756713867,0.06581834523865339,-0.7249193687603925
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(320, 28)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1459370040866266,1.6545063972473142,0.040243713128124754,0.37005536377287007,3.0753113180379392,2.534046840667725,0.062450979552504615,-0.03930792249616921
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(320, 28)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8453100732528551,1.4605847746133802,0.03562546091475017,0.5492697282003981,3.4887646845096785,2.760961592197418,0.06688270973031553,-0.4954991403306046
Local Model,partner_iv,Chemical + Mineralogical + Feature Engineering,"(320, 28)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9110469608718634,1.4601459980010985,0.03540777386054011,0.5278390288349826,3.2044925562651776,2.462724047899246,0.06067299853379393,-0.39233215112670217
