Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,partner_iv,"(320, 26)",1,Chemical + Mineralogical,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.482628249587003,0.37838149674858695,3.4003523728115104,0.3407594918323329,0.0837278494205365,0.00896019097576319,-2.889700698400068,1.472921128897444,10.941415709428632,2.6124250947765164,9.309500238467486,1.9925288645038928,0.22670485558508213,0.04606828610703758,-50.91312390515232,26.33499365807048
Local Model,partner_iv,"(320, 26)",1,Chemical + Mineralogical,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.420232367587883,0.1018577208581283,1.1188527762889862,0.07847490704315448,0.02719237688911973,0.0018789333124426576,0.7617541481601591,0.03319143232758709,3.482219553076188,0.33466935452558544,2.7409767548243202,0.22344876755262102,0.06859668433202372,0.005771675668985249,-2.292659351090576,0.6058793733216248
Local Model,partner_iv,"(320, 26)",1,Chemical + Mineralogical,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4129042696019853,0.06971602254795041,1.1077204467852908,0.05604997617007704,0.027003246913023905,0.001306371055914525,0.7389119446990192,0.02509003979583819,2.8920507617540543,0.19670503949822124,2.297121892372767,0.19319015955324603,0.0562283827579332,0.00475421969918401,-0.11994272566618619,0.18533667405477952
Local Model,partner_iv,"(320, 26)",1,Chemical + Mineralogical,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.1150987080525216,0.9640956606613329,1.5912102743440044,0.692043282969471,0.038974081017044915,0.017276150061937685,0.2473234790897615,0.8163200850315149,7.045194681711487,5.5011307968835546,5.887538629447889,4.8907453569423565,0.14557592403376193,0.12258713094955793,-12.29917868300294,20.167836995509514
Local Model,partner_iv,"(320, 26)",7,Chemical + Mineralogical,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9663444619996686,0.16462349504457338,0.7763839947735821,0.14796705320235326,0.019194606591908976,0.0035157135846816626,0.801169862720109,0.10401846830932354,11.680352810822729,5.405224838473984,11.121759056817917,5.593933768185087,0.27095261740814963,0.13756054823874103,-73.75487167954874,62.322009647984146
Local Model,partner_iv,"(320, 26)",7,Chemical + Mineralogical,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",0.8725135289895554,0.030485139251818776,0.7107686421712239,0.03924793939448416,0.01748224941911898,0.0009162156560517788,0.9100479327105987,0.006274694633986259,4.849252040045357,0.21691327736072097,3.8936712615791405,0.3051015988106576,0.09751574408596708,0.007617238627854822,-5.706969244489592,0.5990713181605446
Local Model,partner_iv,"(320, 26)",7,Chemical + Mineralogical,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9295587945045067,0.07453360761555151,0.7373723539225259,0.06125823583488332,0.01806280776576575,0.0014220022869878965,0.8857282979217952,0.019078537550388776,4.529148980677332,1.0066534675998018,3.6259360482226843,0.7209105365560907,0.09003650090117024,0.017993184946742485,-1.8687496402247425,1.3875035584527389
Local Model,partner_iv,"(320, 26)",7,Chemical + Mineralogical,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.166626984104235,0.32896897718273305,0.9515562109838787,0.2944693312342701,0.02336474905541142,0.007271354527013494,0.7894172903027197,0.16102430496539885,7.227751538304045,4.387802911016654,6.228834827774805,4.1365675946249345,0.15174983060131694,0.10226289957246627,-10.879867429728353,13.462895346584801
Local Model,partner_iv,"(320, 26)",14,Chemical + Mineralogical,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",1.238405901614615,0.23171505520282376,1.006174788193775,0.21323597762065216,0.024991864577212447,0.005271270980015716,0.814821134296701,0.06653702767410972,3.357908624579482,0.2869957336337641,2.679307346717984,0.2591795226161933,0.06738491238687086,0.006150786619170038,-2.329697485248427,0.5729337725647378
Local Model,partner_iv,"(320, 26)",14,Chemical + Mineralogical,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1360389946827267,0.21332187049822401,0.9162464678729022,0.19280193969232748,0.022675208296745235,0.004831628091799441,0.8247374544815592,0.0728321145939433,3.921111338897225,0.6770033501645558,3.1960392920799507,0.5978245815037881,0.07975230630624623,0.015631391418756604,-1.038416868980969,0.7823394193453391
Local Model,partner_iv,"(320, 26)",14,Chemical + Mineralogical,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1892973429356684,0.16415678931813887,0.9692799622955718,0.13343544519815173,0.023905896978650268,0.0031593520214265986,0.802051482111109,0.07112236502493609,7.6784422954219425,4.020117071416437,6.824438006718953,3.916612748240258,0.16538182850042127,0.09206859088985332,-10.083145573001746,8.181217043571431
