Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,partner_iv,"(320, 34)",1,Chemical + Mineralogical + Physical,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.7661442431261751,0.15740012493334601,1.4766336967119207,0.12744240173717922,0.03701714857118069,0.002523387122221451,0.41536831220170417,0.1661498584858439,3.375653144738784,1.217996607539073,2.876127943381285,0.9712240791678384,0.0698711054314519,0.021177477924964355,-3.2895208477750213,2.9100420481162823
Local Model,partner_iv,"(320, 34)",1,Chemical + Mineralogical + Physical,Transformer,Out of time Split,"{""Test Size"": 0.2}",0.8604555916618798,0.045424019040329604,0.6958456118901571,0.040452249599987396,0.017201103080201646,0.0010099954350805123,0.9127543127066261,0.009044785667010955,2.0197390947991276,0.05827285448718844,1.5639333605766295,0.05906045897576558,0.03887238575871577,0.0016115411353783565,-0.0984830272679087,0.06387827606870299
Local Model,partner_iv,"(320, 34)",1,Chemical + Mineralogical + Physical,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9249791011777533,0.08008803614294191,0.7487565837303799,0.07425532538948813,0.018555124892841095,0.0018911681994902478,0.8876028155310712,0.018835303904051463,2.0351682562079447,0.23838564457838654,1.593841402133306,0.19845561004179685,0.03951095745417397,0.004864946156864044,0.4418316551448054,0.13301593091667946
Local Model,partner_iv,"(320, 34)",1,Chemical + Mineralogical + Physical,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.3551031739919945,0.25529958053348945,1.1388853153943483,0.22485594866770994,0.02836816273283234,0.00584937438193397,0.7445446321191239,0.12043500811930298,2.5337595589838826,0.5649904538231211,2.018744416626744,0.42313587328383645,0.05000129962180407,0.012070284058578483,-0.2668019111914494,0.6637057324118896
Local Model,partner_iv,"(320, 34)",7,Chemical + Mineralogical + Physical,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.8495566278236828,0.20651085285096188,1.5136251627604167,0.19067865372375162,0.03814391846289784,0.005322629471598189,0.26639931671501166,0.3127851137643724,13.257571134956574,10.144941597151467,11.388623201790308,8.61640447937838,0.28216706844623324,0.22850088440763655,-189.89984981031532,318.32027481699237
Local Model,partner_iv,"(320, 34)",7,Chemical + Mineralogical + Physical,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.434172937772935,0.06157736087616593,1.1957236938476565,0.04477290220421478,0.029696270646632116,0.001155179452902693,0.7568132632246677,0.02109091640313096,3.2780974761807413,0.7098746299962021,2.7282598561254043,0.5953718032205242,0.06977865669034682,0.015449559713325902,-2.2022500049072833,1.3192927316294543
Local Model,partner_iv,"(320, 34)",7,Chemical + Mineralogical + Physical,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.322538828928597,0.1345293773437461,1.0804635978190107,0.1392426088070217,0.026839284203953945,0.0035539838427884425,0.7673578478381409,0.05007303728563917,4.414061244866727,1.1580884759696313,3.345941469915982,0.7578757828236001,0.08294567944483917,0.018278705403203928,-1.6674641265686554,1.2836786525742754
Local Model,partner_iv,"(320, 34)",7,Chemical + Mineralogical + Physical,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.53628450098719,0.223408098626033,1.2377449783327223,0.17869271382739427,0.030833006280651533,0.004817697367377084,0.6555432146443815,0.16349166556828343,9.20889437883775,7.345355372837689,7.553637488344882,6.893258404437229,0.1877010208819069,0.1718866128692456,-22.691866380999745,33.851020630131146
Local Model,partner_iv,"(320, 34)",14,Chemical + Mineralogical + Physical,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.4351350091541566,0.010614196209890242,1.1248489714780792,0.03287427708595872,0.02773612933369291,0.000862374503222972,0.7597129051524051,0.003557354319933572,4.8651184918003265,1.4429807935871903,4.2988421072367755,1.374346653996377,0.10966460619273605,0.034264934959081554,-6.549354673702003,4.089366261772697
Local Model,partner_iv,"(320, 34)",14,Chemical + Mineralogical + Physical,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4893027598781299,0.12572975471323228,1.2107989964530956,0.11451077191669373,0.030274017864340093,0.0029288478311549735,0.7072026601137779,0.05235166745587482,3.8562366866398134,0.7122401768176028,3.0923898709365742,0.6424878764689862,0.07624525912474045,0.015610168640775511,-0.9426411556866744,0.7399920865900196
Local Model,partner_iv,"(320, 34)",14,Chemical + Mineralogical + Physical,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6618907353005372,0.33754398201146985,1.3331325142981305,0.3126915141881116,0.0333562044081999,0.00825000107420281,0.5828813174682931,0.2607125868034363,14.682405742546624,11.349187541933773,12.919351345052322,10.218764462251963,0.31899747119462585,0.248247868755663,-46.53892693300391,48.38746240415778
